New constituency name,Total population,Number of households,,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure
Leyton and Wanstead,"117,000","44,000",,19.2%,9.4%,19.1%,25.3%,16.1%,10.9%,,59.0%,1.2%,18.4%,6.0%,10.7%,4.0%,0.7%,,32.0%,19.9%,23.3%,13.4%,6.3%,5.1%,,26.6%,38.8%,0.7%,2.3%,0.9%,22.2%,1.0%,0.7%,6.7%,,21.8%,26.3%,31.9%,18.7%,1.2%
Lichfield,"96,200","41,800",,17.0%,8.2%,11.0%,18.1%,21.6%,24.1%,,95.7%,0.4%,2.0%,0.4%,1.0%,0.4%,0.1%,,93.3%,2.7%,1.6%,0.4%,1.7%,0.3%,,38.1%,55.0%,0.2%,0.3%,0.1%,0.5%,0.4%,0.4%,5.1%,,41.9%,31.7%,12.7%,12.7%,1.0%
Lincoln,"117,000","48,200",,16.3%,19.4%,14.9%,17.5%,16.8%,15.2%,,85.9%,0.4%,8.9%,1.2%,2.7%,0.7%,0.2%,,84.1%,8.7%,3.0%,1.3%,1.9%,1.1%,,46.7%,43.2%,0.3%,0.4%,0.1%,1.7%,0.1%,0.7%,6.8%,,27.4%,25.5%,26.4%,19.5%,1.2%
Liverpool Garston,"94,100","40,900",,18.8%,8.7%,13.1%,18.7%,20.5%,20.1%,,92.0%,0.6%,3.2%,0.9%,2.6%,0.6%,0.1%,,86.5%,4.6%,3.7%,1.2%,3.0%,1.0%,,28.5%,62.4%,0.3%,0.8%,0.8%,1.9%,0.1%,0.3%,4.9%,,32.7%,29.7%,13.8%,22.7%,1.0%
Liverpool Riverside,"118,000","49,800",,13.8%,26.9%,19.3%,15.8%,13.5%,10.7%,,75.7%,0.6%,7.8%,4.0%,9.7%,2.0%,0.2%,,64.7%,9.5%,8.9%,6.2%,4.4%,6.3%,,32.7%,47.1%,0.6%,1.2%,0.2%,10.1%,0.2%,0.5%,7.5%,,12.7%,11.2%,38.1%,37.0%,1.0%
Liverpool Walton,"102,000","43,000",,19.9%,10.3%,14.4%,19.0%,20.4%,16.0%,,90.6%,0.4%,4.4%,1.3%,2.5%,0.7%,0.1%,,87.1%,5.1%,3.0%,2.0%,1.8%,1.0%,,25.8%,67.1%,0.3%,0.4%,0.1%,1.4%,0.0%,0.3%,4.5%,,26.6%,25.9%,19.7%,27.1%,0.7%
Liverpool Wavertree,"103,000","43,300",,15.5%,20.2%,15.2%,18.2%,16.4%,14.4%,,82.1%,0.7%,6.0%,3.1%,6.8%,1.1%,0.1%,,70.2%,8.0%,7.3%,4.7%,5.0%,4.9%,,32.8%,49.4%,0.6%,0.8%,0.7%,8.3%,0.2%,0.5%,6.7%,,25.1%,23.1%,31.2%,19.8%,0.7%
Liverpool West Derby,"97,300","42,200",,18.7%,10.1%,14.5%,18.6%,20.8%,17.3%,,90.1%,0.4%,3.6%,1.4%,3.4%,1.1%,0.1%,,85.4%,4.7%,3.7%,1.9%,2.4%,1.9%,,25.5%,65.8%,0.3%,0.4%,0.1%,2.4%,0.1%,0.3%,5.0%,,29.1%,28.0%,20.9%,21.4%,0.5%
Llanelli,"94,100","40,800",,18.1%,9.1%,11.8%,17.4%,21.2%,22.5%,,94.7%,0.3%,3.2%,0.4%,1.2%,0.2%,0.1%,,93.6%,3.7%,1.3%,0.2%,0.9%,0.3%,,46.8%,45.6%,0.3%,0.2%,0.0%,0.5%,0.1%,0.5%,6.0%,,40.5%,28.6%,14.7%,15.7%,0.4%
Loughborough,"101,000","39,400",,15.5%,20.5%,12.3%,17.2%,17.3%,17.3%,,84.8%,0.4%,5.6%,2.4%,6.0%,0.7%,0.2%,,77.1%,5.9%,10.9%,2.0%,2.7%,1.4%,,42.2%,41.2%,0.4%,4.0%,0.1%,4.3%,0.5%,0.5%,6.8%,,35.0%,28.9%,20.9%,14.2%,1.1%
Louth and Horncastle,"96,600","43,800",,14.8%,7.5%,9.6%,14.3%,23.3%,30.5%,,96.2%,0.3%,1.8%,0.5%,0.8%,0.3%,0.1%,,96.2%,1.7%,0.7%,0.2%,1.0%,0.2%,,38.7%,53.9%,0.2%,0.1%,0.1%,0.3%,0.0%,0.5%,6.1%,,47.3%,22.8%,18.4%,10.5%,1.1%
Lowestoft,"94,600","42,800",,16.8%,8.5%,11.2%,16.5%,20.8%,26.2%,,95.5%,0.3%,2.1%,0.6%,1.0%,0.4%,0.2%,,94.5%,2.4%,1.1%,0.4%,1.3%,0.3%,,48.5%,43.8%,0.3%,0.2%,0.1%,0.4%,0.0%,0.6%,6.1%,,40.7%,24.6%,19.9%,14.3%,0.5%
Luton North,"116,000","40,000",,23.5%,11.2%,13.3%,20.8%,17.2%,14.0%,,66.8%,1.6%,8.5%,4.7%,16.3%,2.0%,0.1%,,34.7%,9.7%,37.6%,10.5%,4.5%,3.1%,,17.2%,38.8%,0.3%,3.6%,0.1%,32.5%,1.4%,0.5%,5.6%,,31.2%,32.8%,19.6%,15.7%,0.7%
Luton South and South Bedfordshire,"123,000","45,000",,22.3%,12.6%,16.5%,21.6%,15.8%,11.3%,,60.1%,1.3%,16.1%,4.7%,16.2%,1.5%,0.1%,,35.3%,16.1%,32.6%,8.7%,3.9%,3.4%,,20.1%,38.8%,0.3%,2.7%,0.2%,29.7%,1.2%,0.5%,6.5%,,23.5%,24.8%,34.7%,16.2%,0.7%
Macclesfield,"95,600","43,000",,16.7%,7.8%,10.7%,18.4%,22.6%,23.8%,,93.3%,0.4%,2.8%,0.9%,1.8%,0.6%,0.2%,,91.7%,3.5%,2.0%,0.6%,1.6%,0.6%,,39.7%,52.7%,0.4%,0.5%,0.1%,0.7%,0.1%,0.5%,5.3%,,40.4%,32.1%,15.0%,11.7%,0.8%
Maidenhead,"104,000","41,700",,19.5%,8.3%,11.8%,22.1%,20.0%,18.3%,,79.6%,0.8%,7.3%,3.0%,7.1%,1.6%,0.6%,,70.6%,9.7%,13.1%,1.5%,3.2%,1.9%,,32.1%,49.0%,0.5%,3.3%,0.3%,6.1%,2.2%,0.4%,6.0%,,34.8%,35.2%,18.2%,10.7%,1.2%
Maidstone and Malling,"109,000","44,100",,19.8%,9.4%,14.4%,21.4%,18.2%,16.9%,,83.1%,0.4%,8.1%,2.4%,5.0%,0.8%,0.2%,,78.6%,8.8%,6.1%,2.3%,2.6%,1.5%,,39.9%,48.0%,0.9%,1.9%,0.1%,2.3%,0.2%,0.8%,5.9%,,29.9%,33.9%,20.3%,13.9%,2.0%
Makerfield,"103,000","43,800",,18.1%,9.5%,12.2%,18.9%,20.8%,20.6%,,95.8%,0.3%,2.1%,0.6%,1.0%,0.2%,0.1%,,94.5%,2.2%,1.2%,0.7%,1.0%,0.5%,,28.6%,65.3%,0.2%,0.2%,0.0%,0.8%,0.0%,0.3%,4.5%,,38.1%,34.4%,13.5%,13.6%,0.4%
Maldon,"100,000","41,800",,16.8%,8.7%,10.5%,17.3%,22.5%,24.3%,,94.9%,0.5%,2.0%,0.8%,1.1%,0.5%,0.2%,,93.2%,2.9%,1.4%,0.7%,1.5%,0.4%,,42.4%,50.2%,0.3%,0.3%,0.2%,0.6%,0.1%,0.4%,5.5%,,43.4%,33.7%,11.7%,10.3%,0.8%
Manchester Central,"122,000","52,300",,17.8%,17.9%,23.3%,18.6%,13.4%,8.9%,,67.9%,0.8%,9.0%,7.3%,13.1%,1.6%,0.3%,,52.7%,8.7%,17.5%,11.5%,4.8%,4.7%,,35.3%,39.3%,0.9%,1.0%,0.3%,16.0%,0.5%,0.4%,6.3%,,14.7%,18.9%,40.8%,24.9%,0.8%
Manchester Rusholme,"111,000","37,700",,17.8%,30.3%,18.1%,16.9%,11.0%,5.8%,,60.1%,0.9%,8.0%,9.1%,18.9%,2.8%,0.2%,,32.5%,8.3%,26.9%,17.7%,6.1%,8.5%,,29.6%,25.6%,0.7%,1.7%,0.2%,33.7%,0.5%,0.6%,7.3%,,11.0%,14.5%,39.4%,34.3%,0.8%
Manchester Withington,"91,000","37,800",,15.4%,18.5%,19.9%,20.2%,14.8%,11.2%,,79.3%,1.6%,5.5%,2.6%,8.8%,1.8%,0.3%,,62.4%,9.4%,14.7%,3.7%,5.7%,4.3%,,44.6%,31.4%,0.5%,1.3%,0.7%,14.1%,0.5%,0.7%,6.1%,,22.6%,27.7%,34.0%,15.0%,0.6%
Mansfield,"105,000","46,000",,18.3%,8.7%,13.4%,19.0%,21.1%,19.5%,,89.3%,0.2%,7.9%,0.8%,1.4%,0.3%,0.1%,,87.4%,7.5%,2.0%,1.0%,1.4%,0.7%,,45.5%,46.7%,0.3%,0.3%,0.0%,1.1%,0.2%,0.4%,5.4%,,35.3%,28.7%,19.1%,16.2%,0.7%
Melksham and Devizes,"93,200","40,400",,17.0%,8.1%,10.2%,17.6%,22.4%,24.6%,,92.5%,0.4%,3.5%,1.1%,1.5%,0.7%,0.4%,,92.8%,3.5%,1.2%,0.5%,1.6%,0.4%,,42.6%,49.5%,0.4%,0.2%,0.1%,0.5%,0.1%,0.6%,6.1%,,41.0%,30.1%,13.0%,14.9%,1.0%
Melton and Syston,"94,400","40,200",,17.6%,8.4%,11.6%,18.1%,22.1%,22.2%,,91.4%,0.4%,3.0%,2.0%,2.7%,0.4%,0.2%,,86.1%,3.3%,7.6%,0.6%,1.7%,0.7%,,39.1%,47.8%,0.3%,5.1%,0.1%,0.9%,1.0%,0.5%,5.3%,,40.2%,32.5%,16.0%,10.1%,1.3%
Meriden and Solihull East,"99,400","41,400",,19.7%,9.3%,11.1%,18.2%,20.2%,21.5%,,91.1%,0.8%,2.4%,1.2%,3.7%,0.7%,0.1%,,81.7%,3.9%,7.6%,1.9%,3.6%,1.2%,,35.2%,51.8%,0.3%,1.9%,0.1%,3.4%,1.8%,0.4%,5.1%,,38.0%,30.7%,13.2%,17.3%,0.8%
Merthyr Tydfil and Aberdare,"99,700","43,800",,18.7%,9.7%,13.2%,18.1%,20.5%,19.7%,,95.5%,0.2%,2.7%,0.3%,1.1%,0.2%,0.1%,,94.5%,2.9%,1.3%,0.2%,0.9%,0.3%,,51.8%,41.5%,0.2%,0.2%,0.0%,0.5%,0.1%,0.4%,5.3%,,36.6%,27.6%,16.1%,19.4%,0.3%
Mid and South Pembrokeshire,"101,000","45,500",,17.1%,8.7%,10.8%,16.0%,21.9%,25.6%,,95.1%,0.5%,2.3%,0.5%,1.1%,0.4%,0.2%,,94.5%,2.9%,1.0%,0.2%,1.0%,0.4%,,43.0%,48.9%,0.4%,0.1%,0.1%,0.5%,0.0%,0.5%,6.5%,,42.4%,23.0%,16.6%,17.6%,0.3%
Mid Bedfordshire,"99,600","40,000",,19.9%,9.1%,12.9%,19.9%,20.5%,17.7%,,90.1%,0.8%,3.6%,1.8%,2.7%,0.7%,0.2%,,83.8%,5.5%,4.5%,2.2%,3.3%,0.8%,,41.6%,48.6%,0.3%,1.0%,0.2%,1.6%,1.0%,0.5%,5.2%,,34.3%,39.8%,11.8%,11.5%,2.5%
Mid Buckinghamshire,"97,800","39,100",,19.2%,8.4%,10.6%,19.5%,21.2%,21.1%,,89.6%,0.6%,3.5%,1.9%,2.8%,1.1%,0.4%,,85.6%,5.1%,4.1%,1.5%,2.9%,0.8%,,37.8%,51.6%,0.6%,1.4%,0.3%,1.6%,0.3%,0.5%,6.0%,,38.8%,36.3%,12.8%,10.6%,1.4%
Mid Cheshire,"94,100","40,600",,18.7%,9.0%,13.2%,19.3%,21.7%,18.1%,,93.8%,0.4%,3.0%,0.7%,1.5%,0.4%,0.2%,,92.4%,3.6%,1.7%,0.4%,1.4%,0.5%,,39.0%,54.3%,0.2%,0.4%,0.1%,0.6%,0.1%,0.3%,5.1%,,33.2%,34.2%,15.3%,15.5%,1.8%
Mid Derbyshire,"88,000","38,600",,16.6%,8.6%,10.3%,18.3%,22.3%,23.9%,,95.1%,0.4%,2.1%,0.7%,1.2%,0.4%,0.1%,,92.6%,2.7%,1.8%,0.7%,1.8%,0.4%,,42.2%,49.8%,0.3%,0.3%,0.1%,0.6%,0.4%,0.5%,5.9%,,45.6%,33.0%,12.9%,7.8%,0.7%
Mid Dorset and North Poole,"95,100","40,500",,16.7%,8.3%,9.8%,16.9%,21.8%,26.5%,,93.7%,0.4%,2.8%,1.1%,1.3%,0.6%,0.2%,,93.8%,3.1%,1.2%,0.3%,1.3%,0.4%,,42.5%,49.7%,0.3%,0.3%,0.2%,0.5%,0.0%,0.5%,6.1%,,44.6%,31.1%,13.1%,10.4%,0.8%
Mid Leicestershire,"102,000","41,800",,18.5%,8.6%,12.1%,19.5%,20.3%,21.0%,,88.5%,0.4%,3.5%,2.8%,4.2%,0.5%,0.2%,,77.9%,4.0%,12.5%,1.5%,2.7%,1.4%,,39.1%,43.1%,0.3%,6.9%,0.0%,1.8%,3.2%,0.4%,5.2%,,41.7%,37.2%,13.0%,7.3%,0.8%
Mid Norfolk,"96,200","40,800",,16.3%,8.6%,11.1%,16.6%,21.5%,25.9%,,92.4%,0.3%,4.6%,0.8%,1.0%,0.7%,0.2%,,92.0%,4.8%,0.9%,0.7%,1.2%,0.3%,,41.8%,50.3%,0.3%,0.1%,0.1%,0.4%,0.0%,0.5%,6.3%,,42.5%,28.2%,16.8%,11.6%,0.8%
Mid Sussex,"98,400","40,900",,19.6%,8.2%,11.2%,21.2%,19.6%,20.1%,,87.9%,0.6%,4.4%,1.9%,3.5%,1.2%,0.5%,,85.6%,6.3%,3.9%,0.9%,2.6%,0.8%,,42.6%,47.7%,0.4%,1.2%,0.2%,1.2%,0.1%,0.5%,6.1%,,35.8%,36.1%,15.4%,11.3%,1.4%
Middlesbrough and Thornaby East,"111,000","46,100",,21.7%,12.7%,15.2%,18.1%,17.5%,14.8%,,84.8%,0.2%,3.9%,2.9%,7.8%,0.3%,0.0%,,74.6%,3.4%,13.3%,3.3%,2.3%,3.0%,,36.0%,43.2%,0.3%,1.2%,0.0%,13.1%,0.5%,0.3%,5.3%,,25.1%,23.9%,25.5%,24.7%,0.7%
Middlesbrough South and East Cleveland,"92,400","41,000",,18.1%,8.8%,11.7%,16.9%,21.6%,22.9%,,96.8%,0.1%,1.2%,0.5%,1.1%,0.2%,0.1%,,95.3%,1.1%,1.6%,0.4%,1.1%,0.4%,,38.7%,54.0%,0.2%,0.2%,0.0%,1.2%,0.2%,0.3%,5.2%,,36.5%,29.4%,14.3%,19.0%,0.7%
Milton Keynes Central,"126,000","48,800",,22.0%,10.3%,15.3%,24.0%,17.6%,10.8%,,67.7%,0.7%,11.5%,8.8%,9.6%,1.5%,0.2%,,53.9%,11.6%,15.0%,12.4%,4.4%,2.6%,,35.0%,42.9%,0.6%,5.9%,0.1%,8.1%,0.9%,0.6%,5.9%,,18.9%,27.8%,24.7%,20.4%,8.2%
Milton Keynes North,"99,600","40,700",,20.6%,8.7%,13.4%,21.7%,18.3%,17.4%,,81.5%,0.7%,6.6%,4.4%,5.5%,1.1%,0.2%,,72.6%,7.3%,9.1%,6.1%,3.5%,1.4%,,41.9%,42.4%,0.4%,3.0%,0.1%,5.7%,0.4%,0.5%,5.6%,,29.7%,32.6%,18.4%,14.8%,4.6%
Mitcham and Morden,"124,000","44,800",,19.9%,10.1%,16.7%,23.6%,17.8%,11.9%,,57.3%,1.0%,15.5%,7.9%,13.1%,4.7%,0.4%,,34.4%,17.7%,21.1%,15.7%,5.9%,5.3%,,24.0%,47.7%,0.8%,7.1%,0.2%,12.7%,0.3%,0.5%,6.7%,,23.4%,29.7%,27.0%,18.5%,1.4%
Monmouthshire,"92,900","40,900",,15.8%,8.0%,9.9%,16.9%,23.4%,25.9%,,94.5%,0.3%,2.2%,0.8%,1.3%,0.6%,0.3%,,94.2%,2.7%,1.3%,0.2%,1.2%,0.3%,,43.4%,48.7%,0.4%,0.2%,0.1%,0.5%,0.1%,0.6%,6.1%,,43.3%,28.6%,13.6%,14.0%,0.4%
Montgomeryshire and Glyndwr,"97,800","43,200",,17.1%,8.9%,10.8%,16.5%,22.4%,24.2%,,95.4%,0.3%,2.7%,0.5%,0.7%,0.3%,0.2%,,94.9%,3.1%,0.6%,0.2%,0.8%,0.3%,,43.5%,47.9%,0.3%,0.1%,0.0%,0.4%,0.0%,0.6%,7.1%,,40.5%,23.7%,16.7%,18.6%,0.5%
Morecambe and Lunesdale,"98,300","43,900",,16.6%,8.5%,9.7%,16.3%,22.3%,26.7%,,94.8%,0.3%,3.0%,0.6%,0.8%,0.3%,0.2%,,94.1%,3.5%,0.9%,0.3%,0.9%,0.4%,,35.4%,57.2%,0.3%,0.1%,0.1%,0.4%,0.1%,0.4%,5.9%,,45.3%,27.7%,19.2%,7.2%,0.7%
Neath and Swansea East,"99,500","43,300",,17.6%,11.7%,12.5%,18.1%,19.9%,20.2%,,94.8%,0.3%,2.2%,0.7%,1.7%,0.3%,0.1%,,93.0%,2.6%,2.0%,0.6%,1.2%,0.6%,,49.3%,41.8%,0.3%,0.3%,0.0%,1.0%,0.1%,0.4%,6.8%,,36.6%,29.2%,15.4%,18.4%,0.5%
New Forest East,"90,800","38,900",,16.7%,8.1%,10.1%,16.8%,22.6%,25.7%,,93.9%,0.3%,2.6%,1.1%,1.2%,0.6%,0.4%,,93.5%,3.2%,1.1%,0.5%,1.3%,0.4%,,43.4%,49.4%,0.3%,0.2%,0.1%,0.3%,0.1%,0.6%,5.7%,,43.6%,30.5%,13.6%,11.7%,0.6%
New Forest West,"85,000","38,600",,14.0%,7.3%,8.2%,14.8%,22.3%,33.3%,,92.3%,0.4%,3.3%,1.3%,1.5%,0.7%,0.3%,,92.9%,3.9%,1.3%,0.3%,1.2%,0.4%,,37.8%,54.0%,0.3%,0.1%,0.2%,0.4%,0.0%,0.6%,6.6%,,49.6%,24.6%,15.1%,9.9%,0.8%
Newark,"105,000","45,500",,16.9%,8.8%,10.7%,18.1%,21.9%,23.6%,,92.3%,0.4%,5.0%,0.7%,1.0%,0.4%,0.2%,,90.6%,5.6%,1.3%,0.6%,1.5%,0.5%,,39.5%,53.1%,0.3%,0.2%,0.1%,0.6%,0.2%,0.5%,5.6%,,40.4%,30.3%,16.3%,12.0%,1.0%
Newbury,"97,700","41,100",,19.0%,8.9%,12.5%,20.1%,20.7%,19.0%,,87.4%,0.5%,5.5%,1.8%,3.2%,1.1%,0.3%,,85.9%,6.8%,3.6%,1.0%,2.0%,0.8%,,41.7%,48.4%,0.3%,1.5%,0.1%,1.1%,0.1%,0.4%,6.1%,,32.2%,31.5%,18.9%,15.8%,1.6%
Newcastle-under-Lyme,"92,900","40,100",,16.5%,13.2%,11.8%,17.9%,20.0%,20.6%,,92.0%,0.2%,3.3%,1.0%,3.0%,0.4%,0.1%,,88.2%,3.4%,4.6%,1.3%,1.8%,0.8%,,39.1%,50.9%,0.4%,0.7%,0.1%,2.2%,0.2%,0.5%,5.9%,,36.2%,28.8%,15.4%,18.8%,0.8%
Newcastle upon Tyne Central and West,"131,000","51,300",,19.2%,18.1%,14.8%,17.9%,16.1%,13.8%,,77.5%,0.2%,6.7%,3.3%,11.5%,0.6%,0.1%,,66.5%,6.1%,16.9%,4.3%,2.1%,4.1%,,35.5%,41.4%,0.5%,1.3%,0.1%,14.6%,0.6%,0.4%,5.6%,,22.9%,22.0%,23.0%,31.3%,0.8%
Newcastle upon Tyne East and Wallsend,"115,000","50,800",,16.3%,16.5%,15.9%,17.7%,18.1%,15.5%,,88.2%,0.2%,4.6%,1.9%,4.4%,0.5%,0.1%,,84.0%,4.4%,5.1%,2.8%,2.0%,1.8%,,46.5%,42.2%,0.4%,0.9%,0.1%,3.4%,0.3%,0.5%,5.8%,,23.0%,23.6%,20.6%,32.1%,0.7%
Newcastle upon Tyne North,"107,000","45,300",,16.2%,18.0%,13.5%,18.2%,17.3%,16.9%,,88.0%,0.4%,3.6%,1.7%,5.3%,0.9%,0.2%,,82.4%,4.6%,7.1%,1.5%,2.4%,2.1%,,44.1%,42.5%,0.4%,1.6%,0.3%,4.2%,0.5%,0.4%,6.0%,,30.8%,30.0%,22.1%,16.6%,0.5%
Newport East,"110,000","45,700",,20.2%,10.2%,15.7%,18.8%,18.9%,16.2%,,86.2%,0.3%,6.0%,2.0%,4.8%,0.5%,0.1%,,78.0%,5.9%,8.6%,2.6%,2.8%,2.1%,,42.9%,41.2%,0.3%,0.4%,0.0%,8.7%,0.2%,0.5%,5.8%,,29.2%,30.4%,18.8%,20.7%,0.9%
Newport West and Islwyn,"102,000","43,200",,18.9%,8.9%,12.6%,19.4%,20.4%,19.8%,,94.3%,0.3%,2.2%,0.8%,1.9%,0.3%,0.1%,,91.1%,2.5%,3.0%,0.9%,1.9%,0.6%,,49.8%,41.5%,0.3%,0.4%,0.1%,1.8%,0.3%,0.4%,5.4%,,35.5%,34.2%,12.3%,17.3%,0.7%
Newton Abbot,"93,300","41,500",,15.7%,7.9%,10.6%,16.6%,22.4%,26.9%,,94.9%,0.3%,2.4%,0.7%,1.0%,0.4%,0.2%,,94.9%,2.7%,0.8%,0.2%,1.1%,0.3%,,45.2%,47.0%,0.4%,0.1%,0.1%,0.3%,0.0%,0.6%,6.4%,,42.3%,28.3%,18.3%,9.7%,1.4%
Newton Aycliffe and Spennymoor,"94,500","43,500",,17.6%,9.2%,12.2%,17.7%,21.8%,21.4%,,96.3%,0.2%,1.8%,0.5%,0.9%,0.2%,0.1%,,96.0%,1.8%,0.9%,0.3%,0.7%,0.3%,,39.7%,54.0%,0.2%,0.1%,0.0%,0.4%,0.1%,0.4%,5.0%,,32.2%,29.0%,15.9%,22.4%,0.4%
Normanton and Hemsworth,"103,000","44,500",,18.6%,9.1%,13.4%,18.2%,21.3%,19.5%,,93.5%,0.2%,4.7%,0.6%,0.8%,0.2%,0.1%,,92.0%,4.9%,1.0%,0.7%,1.1%,0.3%,,41.7%,51.6%,0.2%,0.2%,0.0%,0.6%,0.1%,0.4%,5.3%,,32.1%,30.7%,14.4%,22.1%,0.8%
North Bedfordshire,"104,000","42,900",,19.3%,8.7%,12.6%,19.8%,20.7%,18.9%,,90.2%,0.6%,4.2%,1.9%,2.1%,0.8%,0.2%,,83.9%,5.7%,4.0%,2.4%,3.3%,0.7%,,42.4%,47.9%,0.4%,0.9%,0.2%,1.5%,0.9%,0.5%,5.5%,,35.3%,37.0%,13.1%,12.4%,2.1%
North Cornwall,"99,200","43,200",,16.8%,7.9%,9.8%,16.9%,22.3%,26.2%,,94.8%,0.3%,2.8%,0.7%,0.8%,0.4%,0.3%,,94.1%,3.2%,0.6%,0.1%,1.1%,0.9%,,43.7%,48.1%,0.3%,0.1%,0.1%,0.2%,0.0%,0.8%,6.8%,,43.1%,22.5%,19.8%,13.5%,1.1%
North Cotswolds,"92,300","40,200",,17.4%,7.8%,10.5%,17.8%,22.0%,24.5%,,91.5%,0.4%,3.6%,1.4%,1.5%,1.0%,0.5%,,91.1%,4.7%,1.4%,0.6%,1.8%,0.4%,,38.6%,53.8%,0.3%,0.3%,0.1%,0.3%,0.1%,0.5%,5.9%,,40.2%,29.8%,15.6%,12.6%,1.8%
North Devon,"98,600","43,200",,16.6%,8.3%,10.6%,16.5%,22.2%,25.8%,,94.5%,0.3%,2.4%,0.8%,1.3%,0.5%,0.3%,,94.2%,2.7%,1.2%,0.3%,1.2%,0.3%,,45.1%,46.7%,0.3%,0.2%,0.1%,0.4%,0.1%,0.6%,6.5%,,41.8%,25.5%,20.4%,11.1%,1.1%
North Dorset,"93,200","40,100",,16.3%,8.4%,9.7%,16.3%,22.1%,27.2%,,92.9%,0.3%,3.4%,1.0%,1.5%,0.5%,0.3%,,93.7%,3.5%,1.2%,0.3%,1.0%,0.3%,,38.5%,52.7%,0.5%,0.3%,0.1%,0.3%,0.0%,0.6%,7.0%,,44.0%,27.1%,16.2%,11.8%,1.0%
North Durham,"95,000","43,900",,17.1%,8.8%,11.7%,17.6%,22.4%,22.3%,,96.9%,0.1%,1.3%,0.4%,1.0%,0.2%,0.1%,,96.2%,1.4%,1.1%,0.2%,0.8%,0.3%,,40.6%,53.4%,0.2%,0.1%,0.0%,0.5%,0.2%,0.4%,4.4%,,34.8%,29.1%,15.9%,19.8%,0.4%
North East Cambridgeshire,"102,000","44,100",,17.2%,8.8%,12.4%,17.7%,21.0%,22.8%,,87.6%,0.3%,9.7%,0.7%,1.0%,0.5%,0.1%,,85.9%,10.0%,1.2%,0.8%,1.4%,0.7%,,39.9%,52.1%,0.2%,0.2%,0.1%,0.7%,0.1%,0.5%,6.2%,,37.7%,29.1%,19.9%,12.7%,0.6%
North East Derbyshire,"92,400","41,700",,16.4%,8.4%,10.9%,17.3%,22.2%,24.7%,,96.8%,0.2%,1.5%,0.5%,0.7%,0.3%,0.1%,,95.6%,1.7%,1.0%,0.4%,1.2%,0.2%,,42.4%,50.8%,0.2%,0.1%,0.1%,0.4%,0.1%,0.4%,5.5%,,41.5%,29.1%,10.3%,18.4%,0.7%
North East Hampshire,"101,000","41,100",,19.4%,8.2%,10.6%,20.8%,21.3%,19.7%,,88.9%,0.5%,4.1%,2.3%,2.7%,1.0%,0.4%,,87.7%,5.4%,3.2%,0.8%,2.3%,0.7%,,41.1%,50.2%,0.5%,1.0%,0.1%,0.7%,0.3%,0.4%,5.6%,,37.0%,38.1%,13.7%,9.2%,1.9%
North East Hertfordshire,"103,000","43,200",,18.9%,8.5%,11.5%,19.7%,21.0%,20.4%,,90.6%,0.7%,3.6%,1.5%,2.4%,1.0%,0.3%,,85.7%,5.3%,3.6%,1.7%,2.9%,0.8%,,43.5%,46.7%,0.4%,0.8%,0.3%,0.8%,1.2%,0.5%,5.8%,,35.1%,31.5%,13.1%,19.0%,1.2%
North East Somerset and Hanham,"95,600","39,500",,17.6%,9.8%,12.0%,17.9%,20.6%,22.1%,,94.3%,0.3%,2.6%,0.9%,1.2%,0.5%,0.3%,,92.6%,3.3%,1.4%,0.6%,1.8%,0.3%,,46.3%,45.8%,0.3%,0.2%,0.1%,0.5%,0.1%,0.4%,6.3%,,41.5%,34.8%,11.4%,11.2%,1.0%
North Herefordshire,"90,600","40,000",,15.0%,7.6%,9.7%,15.7%,23.2%,28.8%,,93.3%,0.3%,3.9%,0.8%,1.1%,0.5%,0.3%,,93.3%,4.3%,0.9%,0.2%,0.9%,0.4%,,35.8%,56.1%,0.4%,0.1%,0.1%,0.3%,0.1%,0.5%,6.7%,,46.1%,23.1%,18.2%,11.2%,1.3%
North Norfolk,"87,000","41,000",,13.1%,7.0%,8.4%,13.9%,23.2%,34.4%,,95.6%,0.3%,2.0%,0.6%,0.8%,0.4%,0.2%,,95.7%,2.4%,0.5%,0.2%,0.9%,0.2%,,39.5%,52.3%,0.4%,0.1%,0.1%,0.2%,0.0%,0.6%,6.8%,,49.6%,19.6%,17.4%,12.7%,0.7%
North Northumberland,"91,800","42,600",,14.5%,7.3%,9.2%,15.8%,24.4%,28.8%,,96.3%,0.2%,1.8%,0.5%,0.7%,0.4%,0.2%,,96.3%,1.9%,0.7%,0.2%,0.7%,0.3%,,36.8%,56.7%,0.3%,0.1%,0.1%,0.4%,0.1%,0.4%,5.1%,,42.3%,23.0%,17.4%,16.7%,0.6%
